# query 1
0 qid:1 1:10.491604580492906 2:-8.660451252776094 
1 qid:1 1:12.454767691412119 2:-8.77096316296628 
2 qid:1 1:18.758238388970508 2:-11.461861869112921 
3 qid:1 1:14.048472763861646 2:-8.78252304860056 
4 qid:1 1:27.52046454551479 2:-13.375327837753101 
5 qid:1 1:33.456937082543156 2:-15.707482198377086 
6 qid:1 1:33.21106332775312 2:-15.027630465046688 
7 qid:1 1:42.6838683039321 2:-17.142115784711756 
8 qid:1 1:48.340510796277634 2:-19.492141450112022 
9 qid:1 1:50.5112203681101 2:-18.235097605816023 
10 qid:1 1:54.24234382804489 2:-19.134674040310628 
11 qid:1 1:57.48933668395364 2:-19.568800163931744 
12 qid:1 1:60.60291355811367 2:-20.89755639934968 
13 qid:1 1:65.82681693901098 2:-22.089535885574307 
14 qid:1 1:65.62975938710366 2:-20.25609857626672 
15 qid:1 1:68.36481710636124 2:-19.168492053041707 
# query 2
0 qid:2 1:20.098367626031266 2:-13.568999837780575 
1 qid:2 1:26.077276729016642 2:-15.548549967237879 
2 qid:2 1:24.0581317713697 2:-14.152383806125528 
3 qid:2 1:15.706125070841725 2:-10.541023537477667 
4 qid:2 1:25.899325338695277 2:-14.863555074124688 
5 qid:2 1:12.171208459665266 2:-8.396450661842737 
6 qid:2 1:9.316093351731102 2:-6.810025312960115 
7 qid:2 1:27.626281113563124 2:-14.240351089465523 
8 qid:2 1:23.297294700795074 2:-12.178336663833848 
9 qid:2 1:48.86258099126434 2:-18.865861386588634 
10 qid:2 1:54.410358426402894 2:-20.83439179116743 
11 qid:2 1:48.12253068183886 2:-17.905539085604637 
12 qid:2 1:52.863391574267595 2:-18.61387027262955 
13 qid:2 1:58.212933307771344 2:-19.923688925311016 
14 qid:2 1:58.96703116584969 2:-19.859573937492858 
15 qid:2 1:58.08366774537862 2:-19.1759784513074 
16 qid:2 1:72.49550538146367 2:-22.460832988596405 
# query 3
0 qid:3 1:13.533237555220937 2:-9.069380692299069 
1 qid:3 1:11.174839755058875 2:-8.039453061193433 
2 qid:3 1:27.061755239573436 2:-14.54933077396421 
3 qid:3 1:12.10363017939693 2:-7.852136194393667 
4 qid:3 1:31.831773092750012 2:-16.076653077146467 
5 qid:3 1:19.652302532516536 2:-10.753504980425017 
6 qid:3 1:32.82311277217827 2:-16.329906851829985 
7 qid:3 1:28.827534449249086 2:-13.79318963357799 
8 qid:3 1:38.2706627507903 2:-17.636250115571592 
9 qid:3 1:37.62517370295776 2:-17.105731533820673 
10 qid:3 1:42.32866814235731 2:-18.413809308933914 
11 qid:3 1:41.41731661991243 2:-16.286908215600583 
12 qid:3 1:52.27017793997211 2:-18.40007284248304 
13 qid:3 1:66.7327762176592 2:-22.567940042300314 
