# query 1
12 qid:13 1:56.71213331096317 2:-21.534592050194195 
13 qid:13 1:59.92418774785592 2:-22.57450831706496 
14 qid:13 1:48.845979661694116 2:-17.304338684995987 
15 qid:13 1:64.48352289193694 2:-20.820420051783227 
# query 14
0 qid:14 1:28.768858593236327 2:-16.4607432688726 
1 qid:14 1:24.597374812797312 2:-14.049452516036295 
2 qid:14 1:13.533237555220937 2:-9.069380692299069 
3 qid:14 1:27.061755239573436 2:-14.54933077396421 
4 qid:14 1:23.37004683173061 2:-12.812563049746148 
5 qid:14 1:36.81290533917187 2:-18.088060774545692 
6 qid:14 1:25.88796133567914 2:-13.22542881195412 
7 qid:14 1:30.197875437478253 2:-14.730670945111347 
8 qid:14 1:28.827534449249086 2:-13.79318963357799 
9 qid:14 1:42.32866814235731 2:-18.413809308933914 
10 qid:14 1:46.05169991964215 2:-19.02962806596789 
11 qid:14 1:47.10727626168164 2:-17.6431746298434 
12 qid:14 1:54.770608673322634 2:-19.84442343236339 
13 qid:14 1:53.03916583604361 2:-17.685160793578422 
14 qid:14 1:60.643458995444725 2:-20.08061556140568 
15 qid:14 1:66.54495373075054 2:-22.255837368144146 
16 qid:14 1:74.00610417119438 2:-20.085865138060797 
# query 15
0 qid:15 1:26.077276729016642 2:-15.548549967237879 
1 qid:15 1:19.80851896767087 2:-12.719163241606275 
2 qid:15 1:10.993120022365702 2:-7.843051645690481 
3 qid:15 1:28.46611072492199 2:-15.28746390253458 
4 qid:15 1:10.23644964736198 2:-6.924558549514819 
5 qid:15 1:27.264489511595258 2:-14.274601838531543 
6 qid:15 1:30.57779633047693 2:-14.322720148979478 
7 qid:15 1:37.57277900848115 2:-17.07853591294601 
8 qid:15 1:48.07142111177633 2:-19.749485789823673 
9 qid:15 1:41.047217090271964 2:-16.432664277915244 
10 qid:15 1:52.31787423646532 2:-20.598321059815618 
11 qid:15 1:46.970745231954105 2:-18.06567124305936 
12 qid:15 1:48.12084747977706 2:-18.22759374233989 
13 qid:15 1:48.71023770902968 2:-18.282452392143018 
14 qid:15 1:59.11105297161252 2:-22.184014308064384 
15 qid:15 1:67.3118939921489 2:-20.68098729076104 
16 qid:15 1:66.94070034250024 2:-19.45271500712346 
